placette;fascine;ID;espece;numero;recouvrement touffe (cm2);recouvrement par fascine (cm2);surface fascine (cm2)
17;1;CV1;Chara vulgaris;1;38,48;388,53;6000
17;1;CV2;Chara vulgaris;2;50,70;388,53;6000
17;1;CV3;Chara vulgaris;3;21,89;388,53;6000
17;1;CV4;Chara vulgaris;4;36,15;388,53;6000
17;1;CV5;Chara vulgaris;5;57,85;388,53;6000
17;1;CV6;Chara vulgaris;6;62,68;388,53;6000
17;1;CV7;Chara vulgaris;7;46,46;388,53;6000
17;1;CV8;Chara vulgaris;8;39,14;388,53;6000
17;1;CV9;Chara vulgaris;9;35,18;388,53;6000
17;2;CV10;Chara vulgaris;10;7,93;380,61;6000
17;2;CV11;Chara vulgaris;11;31,14;380,61;6000
17;2;CV12;Chara vulgaris;12;49,76;380,61;6000
17;2;CV13;Chara vulgaris;13;47,03;380,61;6000
17;2;CV14;Chara vulgaris;14;74,75;380,61;6000
17;2;CV15;Chara vulgaris;15;49,98;380,61;6000
17;2;CV16;Chara vulgaris;16;50,22;380,61;6000
17;2;CV17;Chara vulgaris;17;31,78;380,61;6000
17;2;CV18;Chara vulgaris;18;38,02;380,61;6000
18;1;CG1;Chara globularis;19;17,92;614,34;6000
18;1;CG2;Chara globularis;20;18,87;614,34;6000
18;1;CG3;Chara globularis;21;19,81;614,34;6000
18;1;CG4;Chara globularis;22;20,75;614,34;6000
18;1;CG5;Chara globularis;23;21,70;614,34;6000
18;1;CG6;Chara globularis;24;22,64;614,34;6000
18;1;CG7;Chara globularis;25;23,58;614,34;6000
18;1;CG8;Chara globularis;26;24,53;614,34;6000
18;1;CG9;Chara globularis;27;25,47;614,34;6000
18;2;CG10;Chara globularis;28;26,42;374,6;6000
18;2;CG11;Chara globularis;29;27,36;374,6;6000
18;2;CG12;Chara globularis;30;28,30;374,6;6000
18;2;CG13;Chara globularis;31;29,25;374,6;6000
18;2;CG14;Chara globularis;32;30,19;374,6;6000
18;2;CG15;Chara globularis;33;31,13;374,6;6000
18;2;CG16;Chara globularis;34;32,08;374,6;6000
18;2;CG17;Chara globularis;35;33,02;374,6;6000
18;2;CG18;Chara globularis;36;33,96;374,6;6000
19;1;CV19;Chara vulgaris;37;77,75;551,16;6000
19;1;CV20;Chara vulgaris;38;105,73;551,16;6000
19;1;CV21;Chara vulgaris;39;76,46;551,16;6000
19;1;CV22;Chara vulgaris;40;41,59;551,16;6000
19;1;CV23;Chara vulgaris;41;36,92;551,16;6000
19;1;CV24;Chara vulgaris;42;46,8;551,16;6000
19;1;CV25;Chara vulgaris;43;81,75;551,16;6000
19;1;CV26;Chara vulgaris;44;13,77;551,16;6000
19;1;CV27;Chara vulgaris;45;70,39;551,16;6000
19;2;CV28;Chara vulgaris;46;94,86;549,39;6000
19;2;CV29;Chara vulgaris;47;56,48;549,39;6000
19;2;CV30;Chara vulgaris;48;52,79;549,39;6000
19;2;CV31;Chara vulgaris;49;56,02;549,39;6000
19;2;CV32;Chara vulgaris;50;65,2;549,39;6000
19;2;CV33;Chara vulgaris;51;63,06;549,39;6000
19;2;CV34;Chara vulgaris;52;69,22;549,39;6000
19;2;CV35;Chara vulgaris;53;52,77;549,39;6000
19;2;CV36;Chara vulgaris;54;38,99;549,39;6000
20;1;CG19;Chara globularis;55;51,89;566,73;6000
20;1;CG20;Chara globularis;56;52,83;566,73;6000
20;1;CG21;Chara globularis;57;53,77;566,73;6000
20;1;CG22;Chara globularis;58;54,72;566,73;6000
20;1;CG23;Chara globularis;59;55,66;566,73;6000
20;1;CG24;Chara globularis;60;56,60;566,73;6000
20;1;CG25;Chara globularis;61;57,55;566,73;6000
20;1;CG26;Chara globularis;62;58,49;566,73;6000
20;1;CG27;Chara globularis;63;59,43;566,73;6000
20;2;CG28;Chara globularis;64;60,38;508,3;6000
20;2;CG29;Chara globularis;65;61,32;508,3;6000
20;2;CG30;Chara globularis;66;62,26;508,3;6000
20;2;CG31;Chara globularis;67;63,21;508,3;6000
20;2;CG32;Chara globularis;68;64,15;508,3;6000
20;2;CG33;Chara globularis;69;65,09;508,3;6000
20;2;CG34;Chara globularis;70;66,04;508,3;6000
20;2;CG35;Chara globularis;71;66,98;508,3;6000
20;2;CG36;Chara globularis;72;67,92;508,3;6000
21;1;CV37;Chara vulgaris;73;68,87;567,24;6000
21;1;CV38;Chara vulgaris;74;69,81;567,24;6000
21;1;CV39;Chara vulgaris;75;70,75;567,24;6000
21;1;CV40;Chara vulgaris;76;71,70;567,24;6000
21;1;CV41;Chara vulgaris;77;72,64;567,24;6000
21;1;CV42;Chara vulgaris;78;73,58;567,24;6000
21;1;CV43;Chara vulgaris;79;74,53;567,24;6000
21;1;CV44;Chara vulgaris;80;75,47;567,24;6000
21;1;CV45;Chara vulgaris;81;76,42;567,24;6000
21;2;CV46;Chara vulgaris;82;77,36;540,84;6000
21;2;CV47;Chara vulgaris;83;78,30;540,84;6000
21;2;CV48;Chara vulgaris;84;79,25;540,84;6000
21;2;CV49;Chara vulgaris;85;80,19;540,84;6000
21;2;CV50;Chara vulgaris;86;81,13;540,84;6000
21;2;CV51;Chara vulgaris;87;82,08;540,84;6000
21;2;CV52;Chara vulgaris;88;83,02;540,84;6000
21;2;CV53;Chara vulgaris;89;83,96;540,84;6000
21;2;CV54;Chara vulgaris;90;84,91;540,84;6000
22;1;CG37;Chara globularis;91;49,32;630,56;6000
22;1;CG38;Chara globularis;92;57,84;630,56;6000
22;1;CG39;Chara globularis;93;85,08;630,56;6000
22;1;CG40;Chara globularis;94;126,99;630,56;6000
22;1;CG41;Chara globularis;95;59,47;630,56;6000
22;1;CG42;Chara globularis;96;51,08;630,56;6000
22;1;CG43;Chara globularis;97;65,78;630,56;6000
22;1;CG44;Chara globularis;98;65,50;630,56;6000
22;1;CG45;Chara globularis;99;69,50;630,56;6000
22;2;CG46;Chara globularis;100;101,77;583,09;6000
22;2;CG47;Chara globularis;101;77,44;583,09;6000
22;2;CG48;Chara globularis;102;45,09;583,09;6000
22;2;CG49;Chara globularis;103;69,90;583,09;6000
22;2;CG50;Chara globularis;104;69,48;583,09;6000
22;2;CG51;Chara globularis;105;52,17;583,09;6000
22;2;CG52;Chara globularis;106;47,45;583,09;6000
22;2;CG53;Chara globularis;107;58,44;583,09;6000
22;2;CG54;Chara globularis;108;61,35;583,09;6000
23;1;CV55;Chara vulgaris;109;50,27;490,58;6000
23;1;CV56;Chara vulgaris;110;70,38;490,58;6000
23;1;CV57;Chara vulgaris;111;60,16;490,58;6000
23;1;CV58;Chara vulgaris;112;53,53;490,58;6000
23;1;CV59;Chara vulgaris;113;87,47;490,58;6000
23;1;CV60;Chara vulgaris;114;49,28;490,58;6000
23;1;CV61;Chara vulgaris;115;35,27;490,58;6000
23;1;CV62;Chara vulgaris;116;38,74;490,58;6000
23;1;CV63;Chara vulgaris;117;45,48;490,58;6000
23;2;CV64;Chara vulgaris;118;87,91;612,24;6000
23;2;CV65;Chara vulgaris;119;54,94;612,24;6000
23;2;CV66;Chara vulgaris;120;55,97;612,24;6000
23;2;CV67;Chara vulgaris;121;55,77;612,24;6000
23;2;CV68;Chara vulgaris;122;43,86;612,24;6000
23;2;CV69;Chara vulgaris;123;81,01;612,24;6000
23;2;CV70;Chara vulgaris;124;72,61;612,24;6000
23;2;CV71;Chara vulgaris;125;63,86;612,24;6000
23;2;CV72;Chara vulgaris;126;96,31;612,24;6000
24;1;CG55;Chara globularis;127;47,60;620,14;6000
24;1;CG56;Chara globularis;128;66,90;620,14;6000
24;1;CG57;Chara globularis;129;86,09;620,14;6000
24;1;CG58;Chara globularis;130;66,74;620,14;6000
24;1;CG59;Chara globularis;131;86,82;620,14;6000
24;1;CG60;Chara globularis;132;93,06;620,14;6000
24;1;CG61;Chara globularis;133;69,34;620,14;6000
24;1;CG62;Chara globularis;134;62,43;620,14;6000
24;1;CG63;Chara globularis;135;41,16;620,14;6000
24;2;CG64;Chara globularis;136;60,38;573,49;6000
24;2;CG65;Chara globularis;137;92,50;573,49;6000
24;2;CG66;Chara globularis;138;57,38;573,49;6000
24;2;CG67;Chara globularis;139;94,79;573,49;6000
24;2;CG68;Chara globularis;140;62,32;573,49;6000
24;2;CG69;Chara globularis;141;58,76;573,49;6000
24;2;CG70;Chara globularis;142;51,11;573,49;6000
24;2;CG71;Chara globularis;143;57,34;573,49;6000
24;2;CG72;Chara globularis;144;38,91;573,49;6000
25;1;CV73;Chara vulgaris;145;56,38;271,71;6000
25;1;CV74;Chara vulgaris;146;65,8;271,71;6000
25;1;CV75;Chara vulgaris;147;54,76;271,71;6000
25;1;CV76;Chara vulgaris;148;43,06;271,71;6000
25;1;CV77;Chara vulgaris;149;51,71;271,71;6000
25;1;CV78;Chara vulgaris;150;0;271,71;6000
25;1;CV79;Chara vulgaris;151;0;271,71;6000
25;1;CV80;Chara vulgaris;152;0;271,71;6000
25;1;CV81;Chara vulgaris;153;0;271,71;6000
25;2;CV82;Chara vulgaris;154;57,42;587,93;6000
25;2;CV83;Chara vulgaris;155;63,06;587,93;6000
25;2;CV84;Chara vulgaris;156;67,67;587,93;6000
25;2;CV85;Chara vulgaris;157;55,27;587,93;6000
25;2;CV86;Chara vulgaris;158;57,64;587,93;6000
25;2;CV87;Chara vulgaris;159;54,8;587,93;6000
25;2;CV88;Chara vulgaris;160;72,97;587,93;6000
25;2;CV89;Chara vulgaris;161;83,04;587,93;6000
25;2;CV90;Chara vulgaris;162;76,06;587,93;6000
26;1;CG73;Chara globularis;163;153,77;544,74;6000
26;1;CG74;Chara globularis;164;154,72;544,74;6000
26;1;CG75;Chara globularis;165;155,66;544,74;6000
26;1;CG76;Chara globularis;166;156,60;544,74;6000
26;1;CG77;Chara globularis;167;157,55;544,74;6000
26;1;CG78;Chara globularis;168;158,49;544,74;6000
26;1;CG79;Chara globularis;169;159,43;544,74;6000
26;1;CG80;Chara globularis;170;160,38;544,74;6000
26;1;CG81;Chara globularis;171;161,32;544,74;6000
26;2;CG82;Chara globularis;172;162,26;451,1;6000
26;2;CG83;Chara globularis;173;163,21;451,1;6000
26;2;CG84;Chara globularis;174;164,15;451,1;6000
26;2;CG85;Chara globularis;175;165,09;451,1;6000
26;2;CG86;Chara globularis;176;166,04;451,1;6000
26;2;CG87;Chara globularis;177;166,98;451,1;6000
26;2;CG88;Chara globularis;178;167,92;451,1;6000
26;2;CG89;Chara globularis;179;168,87;451,1;6000
26;2;CG90;Chara globularis;180;169,81;451,1;6000
27;1;CV91;Chara vulgaris;181;38,47;344,92;6000
27;1;CV92;Chara vulgaris;182;44,21;344,92;6000
27;1;CV93;Chara vulgaris;183;38,82;344,92;6000
27;1;CV94;Chara vulgaris;184;29,08;344,92;6000
27;1;CV95;Chara vulgaris;185;55,35;344,92;6000
27;1;CV96;Chara vulgaris;186;29,94;344,92;6000
27;1;CV97;Chara vulgaris;187;44,43;344,92;6000
27;1;CV98;Chara vulgaris;188;37,25;344,92;6000
27;1;CV99;Chara vulgaris;189;27,37;344,92;6000
27;2;CV100;Chara vulgaris;190;48,58;448,29;6000
27;2;CV101;Chara vulgaris;191;42,35;448,29;6000
27;2;CV102;Chara vulgaris;192;56,45;448,29;6000
27;2;CV103;Chara vulgaris;193;60,13;448,29;6000
27;2;CV104;Chara vulgaris;194;35,07;448,29;6000
27;2;CV105;Chara vulgaris;195;72,85;448,29;6000
27;2;CV106;Chara vulgaris;196;62,41;448,29;6000
27;2;CV107;Chara vulgaris;197;37,93;448,29;6000
27;2;CV108;Chara vulgaris;198;32,52;448,29;6000
28;1;CG91;Chara globularis;199;27,91;368,5;6000
28;1;CG92;Chara globularis;200;47,22;368,5;6000
28;1;CG93;Chara globularis;201;25,12;368,5;6000
28;1;CG94;Chara globularis;202;46,34;368,5;6000
28;1;CG95;Chara globularis;203;37,51;368,5;6000
28;1;CG96;Chara globularis;204;57,5;368,5;6000
28;1;CG97;Chara globularis;205;50,44;368,5;6000
28;1;CG98;Chara globularis;206;45,31;368,5;6000
28;1;CG99;Chara globularis;207;31,15;368,5;6000
28;2;CG100;Chara globularis;208;29,2;417,6;6000
28;2;CG101;Chara globularis;209;68,8;417,6;6000
28;2;CG102;Chara globularis;210;59,73;417,6;6000
28;2;CG103;Chara globularis;211;37,24;417,6;6000
28;2;CG104;Chara globularis;212;78,46;417,6;6000
28;2;CG105;Chara globularis;213;42,8;417,6;6000
28;2;CG106;Chara globularis;214;25,49;417,6;6000
28;2;CG107;Chara globularis;215;42,89;417,6;6000
28;2;CG108;Chara globularis;216;32,99;417,6;6000
29;1;CV109;Chara vulgaris;217;70,7;460,74;6000
29;1;CV110;Chara vulgaris;218;34,59;460,74;6000
29;1;CV111;Chara vulgaris;219;85,3;460,74;6000
29;1;CV112;Chara vulgaris;220;54,69;460,74;6000
29;1;CV113;Chara vulgaris;221;71,78;460,74;6000
29;1;CV114;Chara vulgaris;222;46,2;460,74;6000
29;1;CV115;Chara vulgaris;223;47,11;460,74;6000
29;1;CV116;Chara vulgaris;224;30,23;460,74;6000
29;1;CV117;Chara vulgaris;225;20,14;460,74;6000
29;2;CV118;Chara vulgaris;226;40,19;313,91;6000
29;2;CV119;Chara vulgaris;227;15,55;313,91;6000
29;2;CV120;Chara vulgaris;228;35,31;313,91;6000
29;2;CV121;Chara vulgaris;229;18,16;313,91;6000
29;2;CV122;Chara vulgaris;230;29,59;313,91;6000
29;2;CV123;Chara vulgaris;231;42,81;313,91;6000
29;2;CV124;Chara vulgaris;232;40,24;313,91;6000
29;2;CV125;Chara vulgaris;233;38,06;313,91;6000
29;2;CV126;Chara vulgaris;234;54;313,91;6000
30;1;CG109;Chara globularis;235;28,14;367,72;6000
30;1;CG110;Chara globularis;236;46,12;367,72;6000
30;1;CG111;Chara globularis;237;36;367,72;6000
30;1;CG112;Chara globularis;238;30,42;367,72;6000
30;1;CG113;Chara globularis;239;41,05;367,72;6000
30;1;CG114;Chara globularis;240;49,42;367,72;6000
30;1;CG115;Chara globularis;241;44,88;367,72;6000
30;1;CG116;Chara globularis;242;60,94;367,72;6000
30;1;CG117;Chara globularis;243;30,75;367,72;6000
30;2;CG118;Chara globularis;244;36,37;417,42;6000
30;2;CG119;Chara globularis;245;36,02;417,42;6000
30;2;CG120;Chara globularis;246;40,93;417,42;6000
30;2;CG121;Chara globularis;247;59,62;417,42;6000
30;2;CG122;Chara globularis;248;28,84;417,42;6000
30;2;CG123;Chara globularis;249;75,12;417,42;6000
30;2;CG124;Chara globularis;250;54,43;417,42;6000
30;2;CG125;Chara globularis;251;50,49;417,42;6000
30;2;CG126;Chara globularis;252;35,6;417,42;6000
31;1;CV127;Chara vulgaris;253;17,16;176,92;6000
31;1;CV128;Chara vulgaris;254;19,17;176,92;6000
31;1;CV129;Chara vulgaris;255;18,01;176,92;6000
31;1;CV130;Chara vulgaris;256;30,42;176,92;6000
31;1;CV131;Chara vulgaris;257;14,38;176,92;6000
31;1;CV132;Chara vulgaris;258;26,81;176,92;6000
31;1;CV133;Chara vulgaris;259;15,16;176,92;6000
31;1;CV134;Chara vulgaris;260;12,89;176,92;6000
31;1;CV135;Chara vulgaris;261;22,92;176,92;6000
31;2;CV136;Chara vulgaris;262;25,99;234,48;6000
31;2;CV137;Chara vulgaris;263;23,47;234,48;6000
31;2;CV138;Chara vulgaris;264;18,92;234,48;6000
31;2;CV139;Chara vulgaris;265;34,67;234,48;6000
31;2;CV140;Chara vulgaris;266;27,9;234,48;6000
31;2;CV141;Chara vulgaris;267;26,91;234,48;6000
31;2;CV142;Chara vulgaris;268;22,72;234,48;6000
31;2;CV143;Chara vulgaris;269;29,93;234,48;6000
31;2;CV144;Chara vulgaris;270;23,97;234,48;6000
32;1;CG127;Chara globularis;271;66,48;364,56;6000
32;1;CG128;Chara globularis;272;45,48;364,56;6000
32;1;CG129;Chara globularis;273;8,93;364,56;6000
32;1;CG130;Chara globularis;274;80,32;364,56;6000
32;1;CG131;Chara globularis;275;42,4;364,56;6000
32;1;CG132;Chara globularis;276;23,77;364,56;6000
32;1;CG133;Chara globularis;277;61,57;364,56;6000
32;1;CG134;Chara globularis;278;26,03;364,56;6000
32;1;CG135;Chara globularis;279;9,58;364,56;6000
32;2;CG136;Chara globularis;280;43,64;337,45;6000
32;2;CG137;Chara globularis;281;56,12;337,45;6000
32;2;CG138;Chara globularis;282;38,26;337,45;6000
32;2;CG139;Chara globularis;283;47,22;337,45;6000
32;2;CG140;Chara globularis;284;51,95;337,45;6000
32;2;CG141;Chara globularis;285;27,21;337,45;6000
32;2;CG142;Chara globularis;286;38,29;337,45;6000
32;2;CG143;Chara globularis;287;24,19;337,45;6000
32;2;CG144;Chara globularis;288;10,57;337,45;6000
